account,region,source_date,source_path,source_lines,source_excerpt,license_header,decision_label,commercial_barrier,isd_proposal,support_to_purchase_chain,confidence,appendix_slide
トヨタ自動車 TMC,JP,2026/09,docs/01_トヨタ自動車 TMC.md,16–20,"""・TMCはE3中心であり、次期GAでもE3主力の見込み。 ・Copilotは約30,000ライセンス展開中 ＜コスト面(現行価格）＞ 現状 E3: 2,310円/月 Copilot：3,831円/月 ⇒ 合計約6,000円 PowerBI Pro 5,000人（722円/月）",30000 / 無償: 30000 / 合計: 60000,営業優先,購買済/追加/無償の基準が混在,利用待ち・研修・需要確認,需要台帳→部門導入→定着計測→追加数量の承認,高,24
DENSO 本体,JP,2026/09,docs/02_DENSO 本体.md,14–16,【全体方針・前提条件】 現時点でMicrosoftが想定するE7およびCopilotの導入規模を受け入れられる状況にはなく、対象ユーザー・利用シナリオを精査した上で判断が必要。 AI活用の方向性は理解しているが、Copilot導入ありきの検討は難しい。他社ソリューションを含めて評価する必要があり、Copilot採用前提での数量コミットメントには慎重な姿勢。,36023 / 無償: - / 合計: 36023,保留,割引/契約条件の改善が前提、競合も評価,改善後のROI・対象者整理,条件改善→限定シナリオ→価値証拠→社内決裁可否,高,25
AISIN 本体,JP,2026/09,docs/03_AISIN 本体.md,14–19,【前提条件】 E3を大幅に減らし、E5/E7へ移行する前提条件については現実的ではない。 各社にコミットメント達成のための「ノルマ」が課されるような形になることには懸念がある。グループ各社間の公平性も考慮が必要。 【E7】：構成比較 Agent365自体には魅力を感じるが、一方で、現時点で提示されている価格水準では、Agent365やE7を採用する判断は難しい,20318 / 無償: 5400 / 合計: 25718,条件付き,一律E7化・価格・公平性,グループ標準化,申請/配布基準→共通研修→利用可視化→有償標準化判断,高,26
マツダ Mazda,JP,2026/09,docs/04_マツダ Mazda.md,16–18,【ライセンス戦略・AI活用方針】 ・E7の価格メリットは一定程度評価するものの、約20％のコスト削減だけでは直ちにE7へ移行する決定要因にはならない。 ・AI活用を推進する方針はあるが、Copilotライセンスの全社展開は現時点では想定していない。,1200 / 無償: 24800 / 合計: 26000,別製品優先,Chatで十分、R&D配布停止/開始記述が競合,Copilot Studio/Agentの価値検証,Agent候補→利用量/成果→Studio/Agent365の採否,高,27
スバル Subaru,JP,2026/09,docs/05_スバル Subaru.md,15–17,【価格/前提条件】 E3→E5/E7シフト前提数量について、 非常に厳しいとの認識。2027年4月時点にE3を急激に減らす前提は、現実離れしている。 値上げ幅については率直に「厳しい」という反応。ボリュームディスカウント制度廃止自体は理解するものの、,5000 / 無償: 13100 / 合計: 18100,条件付き,価格/急な全社E7化に懸念,権限・データ・配布設計,限定グループの安全設計→利用証跡→限定拡大判断,高,28
豊田通商 TTC,JP,2026/09,docs/06_豊田通商 TTC.md,15–19,【価格】 現在、全社的にITコスト削減の方針がある、為替影響による一定のコスト増は理解しているものの今回提示された価格上昇幅は受容は非常に厳しい。 【本体：Agent365およびCopilot活用について】 TTC本体ではCopilot活用拡大を進めており、Agent365についてもトライアルを実施中。,2142 / 無償: 2800 / 合計: 4942,条件付き,ITコスト・会社別予算・既存研修,本体の成功事例化,既存施策補完→活用証跡→関連会社別の採否判断,中,29
トヨタ紡織 Toyota Boshoku 本体,JP,2026/09,docs/07_トヨタ紡織 Toyota Boshoku 本体.md,12–14,【価格・数量条件】 ・想定していた20～25％程度の値上げを大きく超える負担に強い懸念。 ・Microsoftが求めるコミット数量は非現実的との認識。まず数量条件と割引率の整理・改善を要望。経営判断では総コストを重視し、現行の利用を維持することが優先。,2140 / 無償: 3900 / 合計: 6040,条件付き,価格・必要性・数量コミット,Agent/Copilot価値・ガバナンス,少数ユースケース→統制/効果→価格を含む継続判断,高,30
トヨタ車体 Toyota Shatai,JP,2026/09,docs/08_トヨタ車体 Toyota Shatai.md,15–17,【前提条件】 MicrosoftがE7やCopilotの大規模展開を前提にしていることは理解できる一方で、製造業の現場実態とのギャップを大きく感じている。 「なぜMicrosoftがその規模を求めるのか」は理解できるようになってきたが、現場が追いついていない。,6370 / 無償: 500 / 合計: 6870,条件付き,数量確約とユースケースが未成熟,段階導入と個別業務の具体化,500想定の対象選定→業務実証→段階購入判定,中,31
豊田自動織機 TICO,JP,2026/09,docs/09_豊田自動織機 TICO.md,13–15,【価格】 価格の上昇自体は想定していたが、全体最適の議論が不足しており、単純にE3/E5/E7単体の比較だけでは今後の判断ができない。 TICOとしてはオンプレミス製品やサーバー系ライセンスも含めたMicrosoft投資全体で、「最終的にいくらがいくらになるのか」を把握したい。,6400 / 無償: 4400 / 合計: 10800,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,32
愛三工業,JP,2026/09,docs/10_愛三工業.md,20–25,【価格】 ボリュームディスカウント廃止や割引率低下（33%→20%）により、GAならではのメリットが弱く見えるとの指摘。 トヨタグループの規模を考えた際に、現在の一次提案が十分な優遇条件と言えるのか疑問との意見 【オンプレ特典】 E3/E5の価格上昇よりも、GAで提供されているオンプレミス関連特典が廃止される場合の影響を強く懸念している。,97 / 無償: 1600 / 合計: 1697,保留,旧来の拡大期待より現環境課題が優先,現行環境の安定化,環境課題整理→利用可能性再確認→必要時に評価,中,33
トヨタコニックプロ,JP,2026/09,docs/11_トヨタコニックプロ.md,16–16,関心度：非常に興味がある／時期：1年以内（2027年4月更新時を想定）。CopilotとAgent365に関心。価格上昇への社内理解を得るため、早期に製品理解と導入準備プロジェクトを開始したい意向。,717 / 無償: - / 合計: 717,条件付き,価格理解が前提,更新時のCopilot/Agent評価,更新要件→小規模評価→更新/追加の判断,中,34
ダイハツ,JP,2026/09,docs/12_ダイハツ.md,15–19,【価格】 次期GA価格については、為替や定価改定の影響は一定程度理解できる一方で、ボリュームディスカウント廃止や割引率低下については納得感のある説明・改善を期待している 【E7・Agent365】 現時点で導入を検討している段階ではなく、まずは既存ライセンスの活用とCopilotの利用状況を見極めたい。,1989 / 無償: 5100 / 合計: 7089,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,35
ジェイテクト,JP,2026/09,docs/13_ジェイテクト.md,16–17,関心度：情報収集中／時期：次期GA期間中。Copilot拡大に伴う関連製品・従量課金を含む運用と、Entra Suiteによる本人確認強化に関心。 MSからE3→E5→E7提案中。→アカウントに確認したところE5化提案には絡んでおらず？状況確認。,600 / 無償: 4600 / 合計: 5200,営業優先,購入時期・決裁・成功基準が未確認,部門別公募と評価設計,候補部門→ユースケース評価→継続根拠→次年度購入,中,36
カヤバ,JP,2026/09,docs/14_カヤバ.md,16–17,関心度：現時点では導入予定なし。コストが障壁だが、Copilotの利用拡大を検討。費用対効果の測定、DLP等のセキュリティ、社内展開方法が主要課題。 Copilotの利用拡大すら検討フェーズ。役員にKPI示せないと進めない。,206 / 無償: 1900 / 合計: 2106,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,37
トヨタコネクティッド,JP,2026/09,docs/15_トヨタコネクティッド.md,16–16,E7のざっくり説明希望。MSアポにTTS同席する形で調整中。,283 / 無償: 1500 / 合計: 1783,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,38
トヨタ自動車九州,JP,2026/09,docs/16_トヨタ自動車九州.md,16–17,E3メインで利用。E7はCopilotやAgentが含まれるのは魅力だが、 E5に含まれるエンドポイントセキュリティ製品は別製品を導入しているため、 全体でみると割高となるため現時点では導入予定はなし。 →E7のざっくり説明希望。まずはTTSでざっくりヒアリングのためアカウント営業経由で打ち合わせ調整中。,1550 / 無償: 2100 / 合計: 3650,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,39
株式会社東海理化,JP,2026/09,docs/17_株式会社東海理化.md,16–18,関心度：わからない／時期：未回答。コスト、利用シナリオ不明、効果が見えないことが障壁。まずE7の機能・活用例・費用対効果の説明を希望。 ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー Copilotは徐々に。エージェント活用には力を入れているため、A365ニーズある可能性あり。,441 / 無償: 2600 / 合計: 3041,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,40
プライムプラネットエナジー&ソリューションズ株式会社,JP,2026/09,docs/18_プライムプラネットエナジー&ソリューションズ株式会社.md,16–18,関心度：現時点では導入予定なし。主な障壁はコスト。一方でCopilot継続利用に必要な基盤側設定にはニーズあり。 Copilotを社内展開推進中で多忙であるもののＡ365ニーズある可能性あり。 ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー,2523 / 無償: 1500 / 合計: 4023,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,41
トヨタ自動車北海道株式会社,JP,2026/09,docs/19_トヨタ自動車北海道株式会社.md,16–18,関心度：興味がある／時期：未定。Agent365とEntra Suiteに関心。導入後の管理コスト増、セキュリティ対応範囲の拡大、社内リソース不足が課題。 Copilot利用希望があると、情シで都度予算確保。徐々に展開。 CopilotStudioの勉強会希望あり、エージェント活用推進しようとはしており、A365ニーズある可能性あり。,332 / 無償: - / 合計: 332,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,42
トヨタテクニカルディベロップメント株式会社,JP,2026/09,docs/20_トヨタテクニカルディベロップメント株式会社.md,16–18,関心度：非常に興味がある／時期：未定。Copilotに関心。500名超の個別購入とE7の価格比較、および内部不正対策を含むPurview Suiteの機能理解を希望。 Copilot利活用推進にあたり環境整備に課題感あり。 ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー,562 / 無償: - / 合計: 562,営業優先,全社利用可能=全員購入ではない,全社展開/希望者購入の運用化,対象者公募→説明会→継続利用→部門別購入判断,高,43
トヨタ自動車東日本,JP,2026/09,docs/21_トヨタ自動車東日本.md,16–17,関心度：情報収集中／時期：未定。Copilotに関心。生成AIのガードレールとDLP、他社生成AIを含むライセンス設計、Power BI等との生成AI連携を検討。 Copilotは徐々に展開。エージェント活用推進に力を入れているため、A365ニーズある可能性あり。,1391 / 無償: 1800 / 合計: 3191,営業優先,TTS/MS記述と展開時点を要照合,必要数量の試行・効果測定,ガードレール→試行→効果確認→必要数量承認,中,44
トヨタ不動産,JP,2026/09,docs/22_トヨタ不動産.md,16–16,関心度：非常に興味がある／時期：1年以内。CopilotとAgent365に関心。（具体的な自由記述はなく、製品説明と導入条件の具体化が次のステップ。）Copilotもまだまだこれから。やる気はある？,115 / 無償: - / 合計: 115,要確認,資料の根拠が限定的,購入意思・障害の確認,決裁者・予算・対象・成功基準を確認→必要時に限定支援,低,45
トヨタファイナンス,JP,2026/09,docs/23_トヨタファイナンス.md,16–19,Agent365トライアルの問い合わせあり。 10月から検討開始、27年2月までに方針確定、3-4月で実装。 27年4月からはAgent365のライセンス最大10ライセンス購入。 トライアル版を使うとしても、1-3月の3か月間の予定。10月から検討開始するので少し待ってほしいとのこと。,41 / 無償: 1700 / 合計: 1741,営業優先,予算/有償継続は未確認,配布後研修と金融業務の評価,対象コホート→研修→反復利用→有償継続決裁,中,46
